,cylinders,displayments,horsepower,weight,acceleration,model year,cluster,mpg,origin_1,origin_2,origin_3,origin,car name
0,8,307.0,130.0,3504,12.0,70,1,18.0,1,0,0,1,chevrolet chevelle malibu
1,8,350.0,165.0,3693,11.5,70,1,15.0,1,0,0,1,buick skylark 320
2,8,318.0,150.0,3436,11.0,70,1,18.0,1,0,0,1,plymouth satellite
3,8,304.0,150.0,3433,12.0,70,1,16.0,1,0,0,1,amc rebel sst
4,8,302.0,140.0,3449,10.5,70,1,17.0,1,0,0,1,ford torino
5,8,429.0,198.0,4341,10.0,70,1,15.0,1,0,0,1,ford galaxie 500
6,8,454.0,220.0,4354,9.0,70,1,14.0,1,0,0,1,chevrolet impala
7,8,440.0,215.0,4312,8.5,70,1,14.0,1,0,0,1,plymouth fury iii
8,8,455.0,225.0,4425,10.0,70,1,14.0,1,0,0,1,pontiac catalina
9,8,390.0,190.0,3850,8.5,70,1,15.0,1,0,0,1,amc ambassador dpl
10,8,383.0,170.0,3563,10.0,70,1,15.0,1,0,0,1,dodge challenger se
11,8,340.0,160.0,3609,8.0,70,1,14.0,1,0,0,1,plymouth 'cuda 340
12,8,400.0,150.0,3761,9.5,70,1,15.0,1,0,0,1,chevrolet monte carlo
13,8,455.0,225.0,3086,10.0,70,1,14.0,1,0,0,1,buick estate wagon (sw)
14,4,113.0,95.0,2372,15.0,70,0,24.0,0,0,1,3,toyota corona mark ii
15,6,198.0,95.0,2833,15.5,70,1,22.0,1,0,0,1,plymouth duster
16,6,199.0,97.0,2774,15.5,70,1,18.0,1,0,0,1,amc hornet
17,6,200.0,85.0,2587,16.0,70,1,21.0,1,0,0,1,ford maverick
18,4,97.0,88.0,2130,14.5,70,0,27.0,0,0,1,3,datsun pl510
19,4,97.0,46.0,1835,20.5,70,0,26.0,0,1,0,2,volkswagen 1131 deluxe sedan
20,4,110.0,87.0,2672,17.5,70,0,25.0,0,1,0,2,peugeot 504
21,4,107.0,90.0,2430,14.5,70,0,24.0,0,1,0,2,audi 100 ls
22,4,104.0,95.0,2375,17.5,70,0,25.0,0,1,0,2,saab 99e
23,4,121.0,113.0,2234,12.5,70,0,26.0,0,1,0,2,bmw 2002
24,6,199.0,90.0,2648,15.0,70,1,21.0,1,0,0,1,amc gremlin
25,8,360.0,215.0,4615,14.0,70,1,10.0,1,0,0,1,ford f250
26,8,307.0,200.0,4376,15.0,70,1,10.0,1,0,0,1,chevy c20
27,8,318.0,210.0,4382,13.5,70,1,11.0,1,0,0,1,dodge d200
28,8,304.0,193.0,4732,18.5,70,1,9.0,1,0,0,1,hi 1200d
29,4,97.0,88.0,2130,14.5,71,0,27.0,0,0,1,3,datsun pl510
30,4,140.0,90.0,2264,15.5,71,0,28.0,1,0,0,1,chevrolet vega 2300
31,4,113.0,95.0,2228,14.0,71,0,25.0,0,0,1,3,toyota corona
32,4,98.0,65.82050623046064,2046,19.0,71,0,25.0,1,0,0,1,ford pinto
33,6,232.0,100.0,2634,13.0,71,1,19.0,1,0,0,1,amc gremlin
34,6,225.0,105.0,3439,15.5,71,1,16.0,1,0,0,1,plymouth satellite custom
35,6,250.0,100.0,3329,15.5,71,1,17.0,1,0,0,1,chevrolet chevelle malibu
36,6,250.0,88.0,3302,15.5,71,1,19.0,1,0,0,1,ford torino 500
37,6,232.0,100.0,3288,15.5,71,1,18.0,1,0,0,1,amc matador
38,8,350.0,165.0,4209,12.0,71,1,14.0,1,0,0,1,chevrolet impala
39,8,400.0,175.0,4464,11.5,71,1,14.0,1,0,0,1,pontiac catalina brougham
40,8,351.0,153.0,4154,13.5,71,1,14.0,1,0,0,1,ford galaxie 500
41,8,318.0,150.0,4096,13.0,71,1,14.0,1,0,0,1,plymouth fury iii
42,8,383.0,180.0,4955,11.5,71,1,12.0,1,0,0,1,dodge monaco (sw)
43,8,400.0,170.0,4746,12.0,71,1,13.0,1,0,0,1,ford country squire (sw)
44,8,400.0,175.0,5140,12.0,71,1,13.0,1,0,0,1,pontiac safari (sw)
45,6,258.0,110.0,2962,13.5,71,1,18.0,1,0,0,1,amc hornet sportabout (sw)
46,4,140.0,72.0,2408,19.0,71,0,22.0,1,0,0,1,chevrolet vega (sw)
47,6,250.0,100.0,3282,15.0,71,1,19.0,1,0,0,1,pontiac firebird
48,6,250.0,88.0,3139,14.5,71,1,18.0,1,0,0,1,ford mustang
49,4,122.0,86.0,2220,14.0,71,0,23.0,1,0,0,1,mercury capri 2000
50,4,116.0,90.0,2123,14.0,71,0,28.0,0,1,0,2,opel 1900
51,4,79.0,70.0,2074,19.5,71,0,30.0,0,1,0,2,peugeot 304
52,4,88.0,76.0,2065,14.5,71,0,30.0,0,1,0,2,fiat 124b
53,4,71.0,65.0,1773,19.0,71,0,31.0,0,0,1,3,toyota corolla 1200
54,4,72.0,69.0,1613,18.0,71,0,35.0,0,0,1,3,datsun 1200
55,4,97.0,60.0,1834,19.0,71,0,27.0,0,1,0,2,volkswagen model 111
56,4,91.0,70.0,1955,20.5,71,0,26.0,1,0,0,1,plymouth cricket
57,4,113.0,95.0,2278,15.5,72,0,24.0,0,0,1,3,toyota corona hardtop
58,4,97.5,80.0,2126,17.0,72,0,25.0,1,0,0,1,dodge colt hardtop
59,4,97.0,54.0,2254,23.5,72,0,23.0,0,1,0,2,volkswagen type 3
60,4,140.0,90.0,2408,19.5,72,0,20.0,1,0,0,1,chevrolet vega
61,4,122.0,86.0,2226,16.5,72,0,21.0,1,0,0,1,ford pinto runabout
62,8,350.0,165.0,4274,12.0,72,1,13.0,1,0,0,1,chevrolet impala
63,8,400.0,175.0,4385,12.0,72,1,14.0,1,0,0,1,pontiac catalina
64,8,318.0,150.0,4135,13.5,72,1,15.0,1,0,0,1,plymouth fury iii
65,8,351.0,153.0,4129,13.0,72,1,14.0,1,0,0,1,ford galaxie 500
66,8,304.0,150.0,3672,11.5,72,1,17.0,1,0,0,1,amc ambassador sst
67,8,429.0,208.0,4633,11.0,72,1,11.0,1,0,0,1,mercury marquis
68,8,350.0,155.0,4502,13.5,72,1,13.0,1,0,0,1,buick lesabre custom
69,8,350.0,160.0,4456,13.5,72,1,12.0,1,0,0,1,oldsmobile delta 88 royale
70,8,400.0,190.0,4422,12.5,72,1,13.0,1,0,0,1,chrysler newport royal
71,4,70.0,97.0,2330,13.5,72,0,19.0,0,0,1,3,mazda rx2 coupe
72,8,304.0,150.0,3892,12.5,72,1,15.0,1,0,0,1,amc matador (sw)
73,8,307.0,130.0,4098,14.0,72,1,13.0,1,0,0,1,chevrolet chevelle concours (sw)
74,8,302.0,140.0,4294,16.0,72,1,13.0,1,0,0,1,ford gran torino (sw)
75,8,318.0,150.0,4077,14.0,72,1,14.0,1,0,0,1,plymouth satellite custom (sw)
76,4,121.0,112.0,2933,14.5,72,0,18.0,0,1,0,2,volvo 145e (sw)
77,4,121.0,76.0,2511,18.0,72,0,22.0,0,1,0,2,volkswagen 411 (sw)
78,4,120.0,87.0,2979,19.5,72,0,21.0,0,1,0,2,peugeot 504 (sw)
