,cylinders,displayments,horsepower,weight,acceleration,model year,cluster,mpg,origin_1,origin_2,origin_3,origin,car name,brand,mpg_scaled,cylinders_str,origin_str
0,8,307.0,130.0,3504,12.0,70,1,18.0,1,0,0,1,chevrolet chevelle malibu,chevrolet,0.2393617021276596,8,1
1,8,350.0,165.0,3693,11.5,70,1,15.0,1,0,0,1,buick skylark 320,buick,0.15957446808510636,8,1
2,8,318.0,150.0,3436,11.0,70,1,18.0,1,0,0,1,plymouth satellite,plymouth,0.2393617021276596,8,1
3,8,304.0,150.0,3433,12.0,70,1,16.0,1,0,0,1,amc rebel sst,amc,0.18617021276595744,8,1
4,8,302.0,140.0,3449,10.5,70,1,17.0,1,0,0,1,ford torino,ford,0.2127659574468085,8,1
5,8,429.0,198.0,4341,10.0,70,1,15.0,1,0,0,1,ford galaxie 500,ford,0.15957446808510636,8,1
6,8,454.0,220.0,4354,9.0,70,1,14.0,1,0,0,1,chevrolet impala,chevrolet,0.1329787234042553,8,1
7,8,440.0,215.0,4312,8.5,70,1,14.0,1,0,0,1,plymouth fury iii,plymouth,0.1329787234042553,8,1
8,8,455.0,225.0,4425,10.0,70,1,14.0,1,0,0,1,pontiac catalina,pontiac,0.1329787234042553,8,1
9,8,390.0,190.0,3850,8.5,70,1,15.0,1,0,0,1,amc ambassador dpl,amc,0.15957446808510636,8,1
10,8,383.0,170.0,3563,10.0,70,1,15.0,1,0,0,1,dodge challenger se,dodge,0.15957446808510636,8,1
11,8,340.0,160.0,3609,8.0,70,1,14.0,1,0,0,1,plymouth 'cuda 340,plymouth,0.1329787234042553,8,1
12,8,400.0,150.0,3761,9.5,70,1,15.0,1,0,0,1,chevrolet monte carlo,chevrolet,0.15957446808510636,8,1
13,8,455.0,225.0,3086,10.0,70,1,14.0,1,0,0,1,buick estate wagon (sw),buick,0.1329787234042553,8,1
14,4,113.0,95.0,2372,15.0,70,0,24.0,0,0,1,3,toyota corona mark ii,toyota,0.39893617021276595,4,3
