ID,MODEL,ATTRIBUTES,SCORE
121,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year')",0.739874652532032
469,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'origin', 'cylinders', 'brand_code')",0.730461561021644
386,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'origin', 'brand_code')",0.728937185769725
428,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'origin')",0.728366370137576
382,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'cluster', 'origin')",0.728013620595635
467,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'cluster', 'origin', 'brand_code')",0.72692141870224
384,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'cluster', 'brand_code')",0.72626684045835
385,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'origin', 'cylinders')",0.726142916694107
495,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'origin', 'cylinders', 'brand_code')",0.725809632553193
327,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'cluster', 'cylinders')",0.725781368018788
374,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'cylinders')",0.725436766952143
489,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'cluster', 'origin', 'cylinders', 'brand_code')",0.72540991815293
466,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'cluster', 'origin', 'cylinders')",0.724989891058637
251,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'cluster')",0.724033490817623
412,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'cylinders', 'brand_code')",0.723016141795204
478,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'cluster', 'origin', 'brand_code')",0.722631586595504
439,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'cluster', 'origin', 'brand_code')",0.722027798915075
252,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'origin')",0.721730456374204
223,AdaBoostRegressor(),"('weight', 'model year', 'cluster', 'brand_code')",0.721216808271038
468,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'cluster', 'cylinders', 'brand_code')",0.720422867007523
90,AdaBoostRegressor(),"('weight', 'model year', 'cluster')",0.719254421420448
410,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'origin', 'cylinders')",0.719149124278475
284,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'brand_code')",0.718001975650316
181,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'cluster')",0.717659643089169
480,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'origin', 'cylinders', 'brand_code')",0.717583632303173
403,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year', 'cluster', 'origin', 'brand_code')",0.717573168732411
372,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'cluster')",0.716714994153992
254,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'brand_code')",0.71644523130456
499,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'cluster', 'origin', 'cylinders', 'brand_code')",0.71633678765595
362,AdaBoostRegressor(),"('weight', 'model year', 'cluster', 'origin', 'brand_code')",0.715966710010509
438,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'cluster', 'origin', 'cylinders')",0.715900270981865
246,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year')",0.715878857272689
459,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'origin', 'cylinders')",0.71565230897695
331,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'cylinders', 'brand_code')",0.715331084401552
184,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'brand_code')",0.714746089285649
296,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'cylinders', 'brand_code')",0.714367033538048
457,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'cylinders')",0.713863632032906
461,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'cylinders', 'brand_code')",0.713358609374445
476,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year', 'cluster', 'origin', 'cylinders', 'brand_code')",0.713080044040179
283,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'cylinders')",0.713020721543511
492,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'origin', 'cylinders')",0.712952246133174
473,AdaBoostRegressor(),"('displayments', 'horsepower', 'acceleration', 'model year', 'cluster', 'cylinders', 'brand_code')",0.712915974158644
328,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'cluster', 'brand_code')",0.712600707001021
253,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'cylinders')",0.712459593215849
458,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'brand_code')",0.712418242422633
319,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'brand_code')",0.712338379929154
373,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'origin')",0.712280371376923
477,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'cluster', 'origin', 'cylinders')",0.712267194429587
281,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'cluster')",0.71218062772878
493,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'origin', 'brand_code')",0.712161958512115
440,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'cluster', 'cylinders', 'brand_code')",0.71187995329522
450,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'cluster', 'origin', 'brand_code')",0.711531411121091
482,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'cluster', 'origin', 'cylinders', 'brand_code')",0.71141687629013
141,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year')",0.71092183224496
486,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'cylinders', 'brand_code')",0.710854227799403
213,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'cylinders')",0.710838313597136
85,AdaBoostRegressor(),"('weight', 'acceleration', 'model year')",0.7108065014836
501,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'origin', 'cylinders', 'brand_code')",0.71075369158212
146,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'cluster')",0.710544912032584
479,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'cluster', 'cylinders', 'brand_code')",0.710420153822118
273,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year', 'cluster', 'brand_code')",0.710210658775742
294,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'origin', 'cylinders')",0.71019677654289
451,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'cluster', 'cylinders', 'brand_code')",0.710170250332916
383,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'cluster', 'cylinders')",0.710077914907505
497,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'cluster', 'origin', 'cylinders', 'brand_code')",0.709589244753346
441,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'origin', 'cylinders', 'brand_code')",0.709206921076978
282,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'origin')",0.709201254812939
292,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'cluster', 'cylinders')",0.708994338526404
407,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'cluster', 'origin')",0.708887471636174
183,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'cylinders')",0.708536965104253
65,AdaBoostRegressor(),"('horsepower', 'weight', 'model year')",0.708138199621922
500,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'origin', 'cylinders', 'brand_code')",0.707727021653676
291,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'cluster', 'origin')",0.707600300223764
351,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'cluster', 'origin')",0.707431188341626
405,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year', 'origin', 'cylinders', 'brand_code')",0.706954860588077
356,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'cylinders', 'brand_code')",0.706333041235411
387,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'model year', 'cylinders', 'brand_code')",0.706236778504039
402,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year', 'cluster', 'origin', 'cylinders')",0.705884003757884
16,AdaBoostRegressor(),"('weight', 'model year')",0.705519233744575
411,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'origin', 'brand_code')",0.705116245511249
214,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'brand_code')",0.704719787985657
432,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'origin', 'brand_code')",0.70465306893869
44,AdaBoostRegressor(),"('displayments', 'weight', 'model year')",0.704571389523291
134,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year', 'brand_code')",0.704498619894389
330,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'origin', 'brand_code')",0.704331937122118
494,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'cylinders', 'brand_code')",0.704214620057316
394,AdaBoostRegressor(),"('displayments', 'horsepower', 'acceleration', 'model year', 'cluster', 'brand_code')",0.703613616310058
420,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'origin', 'cylinders', 'brand_code')",0.703578524287873
212,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'origin')",0.702703192198858
176,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year')",0.702498089183783
318,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'cylinders')",0.702412193726383
91,AdaBoostRegressor(),"('weight', 'model year', 'origin')",0.702246853708617
452,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'origin', 'cylinders', 'brand_code')",0.701669907877725
224,AdaBoostRegressor(),"('weight', 'model year', 'origin', 'cylinders')",0.701415435161218
430,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'brand_code')",0.701076465811912
211,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'cluster')",0.700846367716354
404,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year', 'cluster', 'cylinders', 'brand_code')",0.700672323587635
456,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'origin')",0.700401988216501
485,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'origin', 'brand_code')",0.700085403827079
148,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'cylinders')",0.700004321855439
484,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'cluster', 'origin', 'cylinders')",0.699876944492046
396,AdaBoostRegressor(),"('displayments', 'horsepower', 'acceleration', 'model year', 'origin', 'brand_code')",0.699121853749373
487,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'origin', 'cylinders', 'brand_code')",0.698919893718786
275,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year', 'origin', 'brand_code')",0.698599775166438
274,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year', 'origin', 'cylinders')",0.698594671559257
375,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'brand_code')",0.698449370567043
460,AdaBoostRegressor(),"('displayments', 'horsepower', 'weight', 'acceleration', 'model year', 'origin', 'brand_code')",0.69791642869587
417,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'cluster', 'origin', 'cylinders')",0.697654803598739
225,AdaBoostRegressor(),"('weight', 'model year', 'origin', 'brand_code')",0.697558730078915
408,AdaBoostRegressor(),"('displayments', 'weight', 'acceleration', 'model year', 'cluster', 'cylinders')",0.697437484165583
418,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'cluster', 'origin', 'brand_code')",0.697383857199472
262,AdaBoostRegressor(),"('displayments', 'horsepower', 'acceleration', 'model year', 'origin')",0.697278620941075
131,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year', 'cluster')",0.697164520722229
361,AdaBoostRegressor(),"('weight', 'model year', 'cluster', 'origin', 'cylinders')",0.696830318418378
433,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'cylinders', 'brand_code')",0.696426211820573
353,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'cluster', 'brand_code')",0.696339519052293
316,AdaBoostRegressor(),"('horsepower', 'weight', 'acceleration', 'model year', 'cluster')",0.696296347111127
363,AdaBoostRegressor(),"('weight', 'model year', 'cluster', 'cylinders', 'brand_code')",0.696288435115754
491,AdaBoostRegressor(),"('weight', 'acceleration', 'model year', 'cluster', 'origin', 'cylinders', 'brand_code')",0.695941075418213
38,AdaBoostRegressor(),"('displayments', 'horsepower', 'model year')",0.695920579095106
419,AdaBoostRegressor(),"('displayments', 'weight', 'model year', 'cluster', 'cylinders', 'brand_code')",0.695762158377571
93,AdaBoostRegressor(),"('weight', 'model year', 'brand_code')",0.695578256448914
329,AdaBoostRegressor(),"('horsepower', 'weight', 'model year', 'origin', 'cylinders')",0.695054572288128
